NORAD ID,COSPAR ID,Name,Source,Period,Inclination (deg),Apogee (km),Perigee (km),Eccentric,Radar Cross Section,Size,A/M,Orbit Memo,Launch Time,Deacy Time,Is Active Satellite,Decay?,Debris?,Rocket?
"40374","2015-002A","MUOS 3","US","","","","","","0.00","0.00","","&quot;,","2015-01-21","","true","false","false","false"
"40370","2015-001A","DRAGON CRS-5","US","92.65","51.65","408","401","0.00","0.00","0.00","","","2015-01-10","","true","false","false","false"
"40367","2014-090A","FENGYUN 2G","PRC","1,436.19","2.22","35,803","35,774","0.00","0.00","0.00","","","2014-12-31","","true","false","false","false"
"40364","2014-089A","ASTRA 2G","SES","1,436.07","0.07","35,790","35,782","0.00","0.00","0.00","","","2014-12-27","","true","false","false","false"
"40362","2014-088A","YAOGAN 26","PRC","94.36","97.43","491","484","0.00","0.00","0.00","","","2014-12-27","","true","false","false","false"
"40360","2014-087A","RESURS P2","CIS","93.91","97.29","470","462","0.00","0.00","0.00","","","2014-12-26","","true","false","false","false"
"40358","2014-086A","COSMOS 2502","CIS","103.10","67.15","910","900","0.00","0.00","0.00","","","2014-12-25","","true","false","false","false"
"40355","2014-085A","DUMMY SAT 2/BREEZE-M","CIS","1,530.93","0.32","39,092","36,154","0.03","0.00","0.00","","","2014-12-23","","true","false","false","false"
"40353","2014-084A","KONDOR E","SAFR","94.57","74.75","499","497","0.00","0.00","0.00","","","2014-12-19","","true","false","false","false"
"40351","2014-083D","O3B FM9","O3B","287.93","0.03","8,069","8,063","0.00","0.00","0.00","","","2014-12-18","","true","false","false","false"
"40350","2014-083C","O3B FM12","O3B","287.93","0.03","8,069","8,063","0.00","0.00","0.00","","","2014-12-18","","true","false","false","false"
"40349","2014-083B","O3B FM11","O3B","287.93","0.03","8,069","8,063","0.00","0.00","0.00","","","2014-12-18","","true","false","false","false"
"40348","2014-083A","O3B FM10","O3B","287.93","0.03","8,069","8,063","0.00","0.00","0.00","","","2014-12-18","","true","false","false","false"
"40345","2014-082A","YAMAL 401","CIS","1,436.10","0.04","35,788","35,785","0.00","0.00","0.00","","","2014-12-15","","true","false","false","false"
"40344","2014-081A","USA 259","US","","","","","","0.00","0.00","","NO ELEMENTS AVAILABLE","2014-12-13","","true","false","false","false"
"40340","2014-080C","YAOGAN 25C","PRC","107.05","63.41","1,099","1,082","0.00","0.00","0.00","","","2014-12-10","","true","false","false","false"
"40339","2014-080B","YAOGAN 25B","PRC","107.05","63.41","1,099","1,082","0.00","0.00","0.00","","","2014-12-10","","true","false","false","false"
"40338","2014-080A","YAOGAN 25A","PRC","107.05","63.41","1,099","1,082","0.00","0.00","0.00","","","2014-12-10","","true","false","false","false"
"40336","2014-079A","CBERS-4","PRC","100.32","98.54","775","772","0.00","0.00","0.00","","","2014-12-07","","true","false","false","false"
"40333","2014-078B","DIRECTV 14","US","1,436.09","0.01","35,787","35,786","0.00","0.00","0.00","","","2014-12-06","","true","false","false","false"
"40332","2014-078A","GSAT 16","IND","1,436.11","0.08","35,798","35,775","0.00","0.00","0.00","","","2014-12-06","","true","false","false","false"
"40322","2014-076D","PROCYON","JPN","","","","","","0.00","0.00","","HELIOCENTRIC ORBIT (SUN)","2014-12-03","","true","false","false","false"
"40321","2014-076C","DESPATCH (ARTSAT 2)","JPN","","","","","","0.00","0.00","","HELIOCENTRIC ORBIT (SUN)","2014-12-03","","true","false","false","false"
"40320","2014-076B","SHIN EN 2","JPN","","","","","","0.00","0.00","","HELIOCENTRIC ORBIT (SUN)","2014-12-03","","true","false","false","false"
"40319","2014-076A","HAYABUSA 2","JPN","","","","","","0.00","0.00","","HELIOCENTRIC ORBIT (SUN)","2014-12-03","","true","false","false","false"
"40315","2014-075A","COSMOS 2501 (GLONASS)","CIS","675.73","64.81","19,175","19,085","0.00","0.00","0.00","","","2014-11-30","","true","false","false","false"
"40314","1998-067FL","SPINSAT","US","92.64","51.64","408","400","0.00","0.00","0.00","","","1998-11-20","","true","false","false","false"
"40312","2014-074A","SOYUZ-TMA 15M","CIS","92.65","51.65","408","401","0.00","0.00","0.00","","","2014-11-23","","true","false","false","false"
"40311","2014-073A","KUAIZHOU 2 (KZ-2)","PRC","90.51","96.54","320","279","0.00","0.00","0.00","","","2014-11-21","","true","false","false","false"
"40310","2014-072A","YAOGAN 24","PRC","97.53","97.91","653","629","0.00","0.00","0.00","","","2014-11-20","","true","false","false","false"
"40305","2014-071A","YAOGAN 23","PRC","94.84","97.34","513","509","0.00","0.00","0.00","","","2014-11-14","","true","false","false","false"
"40304","2014-070G","SL-24 PLAT","CIS","94.23","97.47","495","468","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40302","2014-070E","TSUBAME","JPN","95.28","97.46","562","502","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40301","2014-070D","QSAT-EOS","JPN","95.11","97.46","547","501","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40300","2014-070C","CHUBUSAT 1","JPN","94.99","97.46","533","503","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40299","2014-070B","HODOYOSHI 1","JPN","94.86","97.47","520","504","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40298","2014-070A","ASNARO","JPN","94.77","97.47","508","507","0.00","0.00","0.00","","","2014-11-06","","true","false","false","false"
"40296","2014-069A","MERIDIAN 7","CIS","717.77","62.82","39,398","956","0.72","0.00","0.00","","","2014-10-30","","true","false","false","false"
