"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.69668603,107.376,0.000,3069.143828
2456971.69668981,107.344,0.015,3067.507417
2456971.69670139,107.248,0.060,3062.509453
2456971.69671296,107.151,0.106,3057.518969
2456971.69672454,107.054,0.151,3052.536004
2456971.69673611,106.956,0.197,3047.560598
2456971.69674769,106.858,0.242,3042.592802
2456971.69675926,106.760,0.287,3037.632655
2456971.69677083,106.661,0.333,3032.680198
2456971.69678241,106.562,0.378,3027.735481
2456971.69679398,106.463,0.424,3022.798546
2456971.69680556,106.364,0.469,3017.869434
2456971.69681713,106.264,0.515,3012.948195
2456971.69682870,106.163,0.560,3008.034872
2456971.69684028,106.063,0.606,3003.129506
2456971.69685185,105.962,0.651,2998.232148
2456971.69686343,105.861,0.697,2993.342842
2456971.69687500,105.759,0.742,2988.461629
2456971.69688657,105.657,0.788,2983.588562
2456971.69689815,105.555,0.833,2978.723681
2456971.69690972,105.452,0.879,2973.867037
2456971.69692130,105.349,0.924,2969.018676
2456971.69693287,105.246,0.970,2964.178639
2456971.69694444,105.142,1.015,2959.346981
2456971.69695602,105.038,1.061,2954.523742
2456971.69696759,104.934,1.106,2949.708977
2456971.69697917,104.829,1.152,2944.902729
2456971.69699074,104.724,1.197,2940.105043
2456971.69700231,104.619,1.243,2935.315973
2456971.69701389,104.513,1.288,2930.535562
2456971.69702546,104.407,1.334,2925.763865
2456971.69703704,104.300,1.379,2921.000926
2456971.69704861,104.193,1.425,2916.246792
2456971.69706019,104.086,1.470,2911.501518
2456971.69707176,103.979,1.515,2906.765148
2456971.69708333,103.871,1.561,2902.037736
2456971.69709491,103.762,1.606,2897.319330
2456971.69710648,103.654,1.652,2892.609977
2456971.69711806,103.545,1.697,2887.909733
2456971.69712963,103.435,1.743,2883.218642
2456971.69714120,103.325,1.788,2878.536762
2456971.69715278,103.215,1.834,2873.864136
2456971.69716435,103.105,1.879,2869.200824
2456971.69717593,102.994,1.924,2864.546872
2456971.69718750,102.883,1.970,2859.902328
2456971.69719907,102.771,2.015,2855.267252
2456971.69721065,102.659,2.060,2850.641689
2456971.69722222,102.547,2.106,2846.025698
2456971.69723380,102.434,2.151,2841.419324
2456971.69724537,102.321,2.196,2836.822627
2456971.69725694,102.207,2.242,2832.235653
2456971.69726852,102.093,2.287,2827.658462
2456971.69728009,101.979,2.332,2823.091101
2456971.69729167,101.864,2.378,2818.533629
2456971.69730324,101.749,2.423,2813.986095
2456971.69731481,101.634,2.468,2809.448558
2456971.69732639,101.518,2.513,2804.921067
2456971.69733796,101.401,2.558,2800.403682
2456971.69734954,101.285,2.604,2795.896452
2456971.69736111,101.168,2.649,2791.399438
2456971.69737269,101.050,2.694,2786.912688
2456971.69738426,100.932,2.739,2782.436266
2456971.69739583,100.814,2.784,2777.970218
2456971.69740741,100.696,2.829,2773.514609
2456971.69741898,100.577,2.874,2769.069488
2456971.69743056,100.457,2.919,2764.634916
2456971.69744213,100.337,2.964,2760.210945
2456971.69745370,100.217,3.009,2755.797638
2456971.69746528,100.096,3.054,2751.395044
2456971.69747685,99.975,3.099,2747.003227
2456971.69748843,99.854,3.144,2742.622239
2456971.69750000,99.732,3.189,2738.252144
2456971.69751157,99.610,3.234,2733.892992
2456971.69752315,99.487,3.278,2729.544848
2456971.69753472,99.364,3.323,2725.207764
2456971.69754630,99.241,3.368,2720.881802
2456971.69755787,99.117,3.413,2716.567024
2456971.69756944,98.992,3.457,2712.263481
2456971.69758102,98.868,3.502,2707.971239
2456971.69759259,98.742,3.547,2703.690352
2456971.69760417,98.617,3.591,2699.420885
2456971.69761574,98.491,3.636,2695.162891
2456971.69762731,98.365,3.680,2690.916434
2456971.69763889,98.238,3.725,2686.681577
2456971.69765046,98.110,3.769,2682.458374
2456971.69766204,97.983,3.813,2678.246891
2456971.69767361,97.855,3.858,2674.047184
2456971.69768519,97.726,3.902,2669.859319
2456971.69769676,97.597,3.946,2665.683351
2456971.69770833,97.468,3.991,2661.519345
2456971.69771991,97.338,4.035,2657.367366
2456971.69773148,97.208,4.079,2653.227468
2456971.69774306,97.077,4.123,2649.099717
2456971.69775463,96.946,4.167,2644.984179
2456971.69776620,96.815,4.211,2640.880910
2456971.69777778,96.683,4.255,2636.789977
2456971.69778935,96.550,4.299,2632.711438
2456971.69780093,96.417,4.343,2628.645359
2456971.69781250,96.284,4.386,2624.591807
2456971.69782407,96.151,4.430,2620.550837
2456971.69783565,96.016,4.474,2616.522516
2456971.69784722,95.882,4.517,2612.506913
2456971.69785880,95.747,4.561,2608.504084
2456971.69787037,95.611,4.604,2604.514095
2456971.69788194,95.476,4.648,2600.537016
2456971.69789352,95.339,4.691,2596.572903
2456971.69790509,95.202,4.735,2592.621825
2456971.69791667,95.065,4.778,2588.683850
2456971.69792824,94.928,4.821,2584.759035
2456971.69793981,94.790,4.864,2580.847450
2456971.69795139,94.651,4.907,2576.949163
2456971.69796296,94.512,4.950,2573.064233
2456971.69797454,94.373,4.993,2569.192728
2456971.69798611,94.233,5.036,2565.334715
2456971.69799769,94.092,5.079,2561.490262
2456971.69800926,93.952,5.121,2557.659430
2456971.69802083,93.810,5.164,2553.842287
2456971.69803241,93.669,5.207,2550.038904
2456971.69804398,93.527,5.249,2546.249341
2456971.69805556,93.384,5.292,2542.473666
2456971.69806713,93.241,5.334,2538.711949
2456971.69807870,93.098,5.376,2534.964257
2456971.69809028,92.954,5.418,2531.230653
2456971.69810185,92.809,5.460,2527.511206
2456971.69811343,92.665,5.502,2523.805985
2456971.69812500,92.519,5.544,2520.115059
2456971.69813657,92.374,5.586,2516.438490
2456971.69814815,92.227,5.628,2512.776350
2456971.69815972,92.081,5.670,2509.128705
2456971.69817130,91.934,5.711,2505.495624
2456971.69818287,91.786,5.753,2501.877179
2456971.69819444,91.638,5.794,2498.273431
2456971.69820602,91.490,5.836,2494.684452
2456971.69821759,91.341,5.877,2491.110311
2456971.69822917,91.191,5.918,2487.551075
2456971.69824074,91.041,5.959,2484.006817
2456971.69825231,90.891,6.000,2480.477599
2456971.69826389,90.740,6.041,2476.963494
2456971.69827546,90.589,6.081,2473.464570
2456971.69828704,90.437,6.122,2469.980896
2456971.69829861,90.285,6.163,2466.512542
2456971.69831019,90.133,6.203,2463.059580
2456971.69832176,89.980,6.243,2459.622073
2456971.69833333,89.826,6.284,2456.200093
2456971.69834491,89.672,6.324,2452.793711
2456971.69835648,89.518,6.364,2449.402994
2456971.69836806,89.363,6.403,2446.028014
2456971.69837963,89.207,6.443,2442.668840
2456971.69839120,89.052,6.483,2439.325544
2456971.69840278,88.895,6.522,2435.998190
2456971.69841435,88.739,6.562,2432.686851
2456971.69842593,88.581,6.601,2429.391597
2456971.69843750,88.424,6.640,2426.112497
2456971.69844907,88.266,6.679,2422.849621
2456971.69846065,88.107,6.718,2419.603040
2456971.69847222,87.948,6.757,2416.372824
2456971.69848380,87.789,6.796,2413.159042
2456971.69849537,87.629,6.834,2409.961764
2456971.69850694,87.468,6.873,2406.781060
2456971.69851852,87.307,6.911,2403.617004
2456971.69853009,87.146,6.949,2400.469658
2456971.69854167,86.984,6.987,2397.339097
2456971.69855324,86.822,7.025,2394.225390
2456971.69856481,86.660,7.063,2391.128607
2456971.69857639,86.496,7.100,2388.048818
2456971.69858796,86.333,7.138,2384.986093
2456971.69859954,86.169,7.175,2381.940502
2456971.69861111,86.004,7.212,2378.912115
2456971.69862269,85.839,7.249,2375.901001
2456971.69863426,85.674,7.286,2372.907230
2456971.69864583,85.508,7.323,2369.930872
2456971.69865741,85.342,7.359,2366.971996
2456971.69866898,85.175,7.396,2364.030672
2456971.69868056,85.008,7.432,2361.106971
2456971.69869213,84.840,7.468,2358.200960
2456971.69870370,84.672,7.504,2355.312709
2456971.69871528,84.503,7.540,2352.442288
2456971.69872685,84.334,7.575,2349.589766
2456971.69873843,84.165,7.611,2346.755211
2456971.69875000,83.995,7.646,2343.938690
2456971.69876157,83.825,7.681,2341.140278
2456971.69877315,83.654,7.716,2338.360041
2456971.69878472,83.483,7.751,2335.598046
2456971.69879630,83.311,7.786,2332.854363
2456971.69880787,83.139,7.820,2330.129060
2456971.69881944,82.967,7.854,2327.422205
2456971.69883102,82.794,7.888,2324.733866
2456971.69884259,82.620,7.922,2322.064112
2456971.69885417,82.446,7.956,2319.413009
2456971.69886574,82.272,7.989,2316.780625
2456971.69887731,82.098,8.023,2314.167025
2456971.69888889,81.922,8.056,2311.572283
2456971.69890046,81.747,8.089,2308.996461
2456971.69891204,81.571,8.122,2306.439628
2456971.69892361,81.394,8.154,2303.901849
2456971.69893519,81.218,8.187,2301.383192
2456971.69894676,81.040,8.219,2298.883722
2456971.69895833,80.863,8.251,2296.403502
2456971.69896991,80.685,8.283,2293.942605
2456971.69898148,80.506,8.314,2291.501092
2456971.69899306,80.327,8.346,2289.079030
2456971.69900463,80.148,8.377,2286.676484
2456971.69901620,79.968,8.408,2284.293514
2456971.69902778,79.788,8.439,2281.930192
2456971.69903935,79.608,8.469,2279.586579
2456971.69905093,79.427,8.500,2277.262739
2456971.69906250,79.245,8.530,2274.958737
2456971.69907407,79.063,8.560,2272.674631
2456971.69908565,78.881,8.589,2270.410493
2456971.69909722,78.699,8.619,2268.166380
2456971.69910880,78.516,8.648,2265.942357
2456971.69912037,78.332,8.677,2263.738482
2456971.69913194,78.149,8.706,2261.554824
2456971.69914352,77.965,8.735,2259.391441
2456971.69915509,77.780,8.763,2257.248394
2456971.69916667,77.595,8.791,2255.125740
2456971.69917824,77.410,8.819,2253.023548
2456971.69918981,77.224,8.847,2250.941874
2456971.69920139,77.038,8.875,2248.880774
2456971.69921296,76.852,8.902,2246.840315
2456971.69922454,76.665,8.929,2244.820553
2456971.69923611,76.478,8.956,2242.821543
2456971.69924769,76.290,8.982,2240.843349
2456971.69925926,76.103,9.008,2238.886027
2456971.69927083,75.914,9.034,2236.949631
2456971.69928241,75.726,9.060,2235.034224
2456971.69929398,75.537,9.086,2233.139860
2456971.69930556,75.348,9.111,2231.266592
2456971.69931713,75.158,9.136,2229.414483
2456971.69932870,74.968,9.161,2227.583580
2456971.69934028,74.778,9.185,2225.773946
2456971.69935185,74.587,9.210,2223.985632
2456971.69936343,74.396,9.234,2222.218689
2456971.69937500,74.205,9.257,2220.473176
2456971.69938657,74.013,9.281,2218.749140
2456971.69939815,73.821,9.304,2217.046641
