"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48362843,10.296,0.000,2998.079786
2456971.48363426,10.293,0.031,2994.613791
2456971.48364583,10.288,0.093,2987.735297
2456971.48365741,10.282,0.155,2980.856855
2456971.48366898,10.276,0.217,2973.978471
2456971.48368056,10.270,0.279,2967.100154
2456971.48369213,10.264,0.341,2960.221914
2456971.48370370,10.258,0.404,2953.343759
2456971.48371528,10.251,0.466,2946.465697
2456971.48372685,10.245,0.529,2939.587738
2456971.48373843,10.239,0.592,2932.709891
2456971.48375000,10.233,0.655,2925.832164
2456971.48376157,10.226,0.718,2918.954567
2456971.48377315,10.220,0.782,2912.077109
2456971.48378472,10.213,0.845,2905.199798
2456971.48379630,10.207,0.909,2898.322644
2456971.48380787,10.200,0.972,2891.445657
2456971.48381944,10.194,1.036,2884.568847
2456971.48383102,10.187,1.101,2877.692221
2456971.48384259,10.180,1.165,2870.815790
2456971.48385417,10.174,1.229,2863.939565
2456971.48386574,10.167,1.294,2857.063553
2456971.48387731,10.160,1.359,2850.187765
2456971.48388889,10.153,1.424,2843.312212
2456971.48390046,10.146,1.489,2836.436901
2456971.48391204,10.139,1.554,2829.561844
2456971.48392361,10.132,1.619,2822.687052
2456971.48393519,10.125,1.685,2815.812533
2456971.48394676,10.118,1.751,2808.938299
2456971.48395833,10.110,1.817,2802.064358
2456971.48396991,10.103,1.883,2795.190723
2456971.48398148,10.096,1.949,2788.317403
2456971.48399306,10.088,2.015,2781.444409
2456971.48400463,10.081,2.082,2774.571751
2456971.48401620,10.073,2.149,2767.699441
2456971.48402778,10.066,2.216,2760.827489
2456971.48403935,10.058,2.283,2753.955905
2456971.48405093,10.050,2.350,2747.084702
2456971.48406250,10.042,2.418,2740.213889
2456971.48407407,10.034,2.485,2733.343478
2456971.48408565,10.027,2.553,2726.473481
2456971.48409722,10.019,2.621,2719.603908
2456971.48410880,10.011,2.690,2712.734772
2456971.48412037,10.003,2.758,2705.866083
2456971.48413194,9.994,2.827,2698.997854
2456971.48414352,9.986,2.896,2692.130095
2456971.48415509,9.978,2.965,2685.262819
2456971.48416667,9.969,3.034,2678.396039
2456971.48417824,9.961,3.103,2671.529765
2456971.48418981,9.953,3.173,2664.664009
2456971.48420139,9.944,3.243,2657.798785
2456971.48421296,9.935,3.313,2650.934105
2456971.48422454,9.927,3.383,2644.069980
2456971.48423611,9.918,3.453,2637.206424
2456971.48424769,9.909,3.524,2630.343449
2456971.48425926,9.900,3.595,2623.481068
2456971.48427083,9.891,3.666,2616.619294
2456971.48428241,9.882,3.737,2609.758139
2456971.48429398,9.873,3.808,2602.897617
2456971.48430556,9.864,3.880,2596.037742
2456971.48431713,9.855,3.952,2589.178525
2456971.48432870,9.846,4.024,2582.319982
2456971.48434028,9.836,4.096,2575.462126
2456971.48435185,9.827,4.169,2568.604969
2456971.48436343,9.817,4.242,2561.748526
2456971.48437500,9.808,4.315,2554.892812
2456971.48438657,9.798,4.388,2548.037839
2456971.48439815,9.788,4.461,2541.183622
2456971.48440972,9.778,4.535,2534.330177
2456971.48442130,9.768,4.609,2527.477516
2456971.48443287,9.758,4.683,2520.625655
2456971.48444444,9.748,4.757,2513.774608
2456971.48445602,9.738,4.832,2506.924391
2456971.48446759,9.728,4.907,2500.075018
2456971.48447917,9.718,4.982,2493.226504
2456971.48449074,9.707,5.057,2486.378866
2456971.48450231,9.697,5.133,2479.532117
2456971.48451389,9.686,5.209,2472.686274
2456971.48452546,9.675,5.285,2465.841353
2456971.48453704,9.665,5.361,2458.997369
2456971.48454861,9.654,5.438,2452.154339
2456971.48456019,9.643,5.514,2445.312278
2456971.48457176,9.632,5.591,2438.471204
2456971.48458333,9.621,5.669,2431.631132
2456971.48459491,9.610,5.746,2424.792079
2456971.48460648,9.599,5.824,2417.954062
2456971.48461806,9.587,5.902,2411.117099
2456971.48462963,9.576,5.981,2404.281205
2456971.48464120,9.564,6.059,2397.446399
2456971.48465278,9.553,6.138,2390.612699
2456971.48466435,9.541,6.218,2383.780121
2456971.48467593,9.529,6.297,2376.948683
2456971.48468750,9.517,6.377,2370.118405
2456971.48469907,9.505,6.457,2363.289303
2456971.48471065,9.493,6.537,2356.461397
2456971.48472222,9.481,6.618,2349.634705
2456971.48473380,9.469,6.699,2342.809245
2456971.48474537,9.456,6.780,2335.985038
2456971.48475694,9.444,6.861,2329.162101
2456971.48476852,9.431,6.943,2322.340455
2456971.48478009,9.418,7.025,2315.520119
2456971.48479167,9.406,7.108,2308.701112
2456971.48480324,9.393,7.190,2301.883455
2456971.48481481,9.380,7.273,2295.067168
2456971.48482639,9.367,7.357,2288.252271
2456971.48483796,9.353,7.440,2281.438785
2456971.48484954,9.340,7.524,2274.626731
2456971.48486111,9.327,7.608,2267.816131
2456971.48487269,9.313,7.693,2261.007004
2456971.48488426,9.299,7.778,2254.199372
2456971.48489583,9.286,7.863,2247.393258
2456971.48490741,9.272,7.949,2240.588685
2456971.48491898,9.258,8.034,2233.785672
2456971.48493056,9.244,8.121,2226.984243
