"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.86663936,44.149,0.000,2949.164139
2456971.86664352,44.191,0.014,2947.631639
2456971.86665509,44.308,0.051,2943.374596
2456971.86666667,44.425,0.089,2939.127001
2456971.86667824,44.542,0.126,2934.888897
2456971.86668981,44.660,0.164,2930.660332
2456971.86670139,44.779,0.201,2926.441357
2456971.86671296,44.897,0.239,2922.232013
2456971.86672454,45.016,0.276,2918.032353
2456971.86673611,45.136,0.314,2913.842420
2456971.86674769,45.255,0.351,2909.662264
2456971.86675926,45.375,0.388,2905.491935
2456971.86677083,45.496,0.426,2901.331476
2456971.86678241,45.616,0.463,2897.180941
2456971.86679398,45.737,0.500,2893.040372
2456971.86680556,45.858,0.537,2888.909822
2456971.86681713,45.980,0.574,2884.789340
2456971.86682870,46.102,0.611,2880.678972
2456971.86684028,46.224,0.648,2876.578768
2456971.86685185,46.347,0.685,2872.488779
2456971.86686343,46.470,0.722,2868.409051
2456971.86687500,46.593,0.759,2864.339638
2456971.86688657,46.717,0.796,2860.280585
2456971.86689815,46.841,0.833,2856.231943
2456971.86690972,46.966,0.870,2852.193764
2456971.86692130,47.090,0.907,2848.166095
2456971.86693287,47.215,0.943,2844.148988
2456971.86694444,47.341,0.980,2840.142496
2456971.86695602,47.466,1.017,2836.146663
2456971.86696759,47.593,1.053,2832.161544
2456971.86697917,47.719,1.090,2828.187192
2456971.86699074,47.846,1.126,2824.223651
2456971.86700231,47.973,1.162,2820.270977
2456971.86701389,48.100,1.199,2816.329223
2456971.86702546,48.228,1.235,2812.398435
2456971.86703704,48.356,1.271,2808.478667
2456971.86704861,48.485,1.308,2804.569973
2456971.86706019,48.614,1.344,2800.672401
2456971.86707176,48.743,1.380,2796.786004
2456971.86708333,48.873,1.416,2792.910834
2456971.86709491,49.003,1.452,2789.046947
2456971.86710648,49.133,1.488,2785.194389
2456971.86711806,49.264,1.524,2781.353216
2456971.86712963,49.395,1.560,2777.523482
2456971.86714120,49.526,1.595,2773.705236
2456971.86715278,49.658,1.631,2769.898533
2456971.86716435,49.790,1.667,2766.103425
2456971.86717593,49.922,1.702,2762.319968
2456971.86718750,50.055,1.738,2758.548211
2456971.86719907,50.188,1.773,2754.788209
2456971.86721065,50.322,1.809,2751.040015
2456971.86722222,50.456,1.844,2747.303687
2456971.86723380,50.590,1.879,2743.579273
2456971.86724537,50.725,1.915,2739.866828
2456971.86725694,50.860,1.950,2736.166407
2456971.86726852,50.995,1.985,2732.478067
2456971.86728009,51.131,2.020,2728.801856
2456971.86729167,51.267,2.055,2725.137831
2456971.86730324,51.403,2.090,2721.486048
2456971.86731481,51.540,2.125,2717.846559
2456971.86732639,51.677,2.159,2714.219424
2456971.86733796,51.814,2.194,2710.604690
2456971.86734954,51.952,2.229,2707.002415
2456971.86736111,52.091,2.263,2703.412655
