"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.47894567,239.580,0.000,3000.220518
2456971.47894676,239.592,0.003,2999.878013
2456971.47895833,239.715,0.036,2996.254798
2456971.47896991,239.839,0.069,2992.642598
2456971.47898148,239.963,0.102,2989.041455
2456971.47899306,240.087,0.135,2985.451412
2456971.47900463,240.211,0.167,2981.872513
2456971.47901620,240.336,0.200,2978.304797
2456971.47902778,240.461,0.233,2974.748314
2456971.47903935,240.586,0.265,2971.203106
2456971.47905093,240.712,0.298,2967.669215
2456971.47906250,240.838,0.330,2964.146685
2456971.47907407,240.964,0.363,2960.635561
2456971.47908565,241.091,0.395,2957.135882
2456971.47909722,241.217,0.427,2953.647700
2456971.47910880,241.345,0.459,2950.171054
2456971.47912037,241.472,0.492,2946.705989
2456971.47913194,241.600,0.524,2943.252550
2456971.47914352,241.728,0.556,2939.810779
2456971.47915509,241.856,0.587,2936.380719
2456971.47916667,241.984,0.619,2932.962419
2456971.47917824,242.113,0.651,2929.555920
2456971.47918981,242.242,0.683,2926.161268
2456971.47920139,242.372,0.714,2922.778507
2456971.47921296,242.502,0.746,2919.407680
2456971.47922454,242.632,0.777,2916.048832
2456971.47923611,242.762,0.809,2912.702008
2456971.47924769,242.893,0.840,2909.367249
2456971.47925926,243.024,0.871,2906.044607
2456971.47927083,243.155,0.902,2902.734121
2456971.47928241,243.286,0.934,2899.435838
2456971.47929398,243.418,0.965,2896.149801
2456971.47930556,243.550,0.996,2892.876055
2456971.47931713,243.683,1.026,2889.614646
2456971.47932870,243.816,1.057,2886.365617
2456971.47934028,243.949,1.088,2883.129014
2456971.47935185,244.082,1.118,2879.904882
2456971.47936343,244.215,1.149,2876.693264
2456971.47937500,244.349,1.179,2873.494203
2456971.47938657,244.484,1.210,2870.307750
2456971.47939815,244.618,1.240,2867.133947
2456971.47940972,244.753,1.270,2863.972838
2456971.47942130,244.888,1.300,2860.824469
2456971.47943287,245.023,1.330,2857.688884
2456971.47944444,245.159,1.360,2854.566128
2456971.47945602,245.295,1.390,2851.456246
2456971.47946759,245.431,1.420,2848.359283
2456971.47947917,245.568,1.450,2845.275284
2456971.47949074,245.705,1.479,2842.204293
2456971.47950231,245.842,1.509,2839.146357
2456971.47951389,245.979,1.538,2836.101519
2456971.47952546,246.117,1.568,2833.069824
2456971.47953704,246.255,1.597,2830.051317
2456971.47954861,246.393,1.626,2827.046044
2456971.47956019,246.532,1.655,2824.054049
2456971.47957176,246.671,1.684,2821.075377
2456971.47958333,246.810,1.713,2818.110072
2456971.47959491,246.950,1.741,2815.158180
2456971.47960648,247.089,1.770,2812.219745
2456971.47961806,247.230,1.799,2809.294812
2456971.47962963,247.370,1.827,2806.383425
2456971.47964120,247.511,1.856,2803.485631
2456971.47965278,247.652,1.884,2800.601472
2456971.47966435,247.793,1.912,2797.730994
2456971.47967593,247.934,1.940,2794.874241
2456971.47968750,248.076,1.968,2792.031258
2456971.47969907,248.218,1.996,2789.202090
2456971.47971065,248.361,2.024,2786.386780
2456971.47972222,248.503,2.051,2783.585374
2456971.47973380,248.646,2.079,2780.797915
2456971.47974537,248.790,2.106,2778.024452
2456971.47975694,248.933,2.133,2775.265021
2456971.47976852,249.077,2.161,2772.519671
2456971.47978009,249.221,2.188,2769.788446
2456971.47979167,249.365,2.215,2767.071389
