"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.73670997,36.073,0.000,2696.144813
2456971.73671296,36.100,0.013,2694.744660
2456971.73672454,36.205,0.061,2689.332682
2456971.73673611,36.310,0.109,2683.927812
2456971.73674769,36.416,0.158,2678.530101
2456971.73675926,36.522,0.207,2673.139596
2456971.73677083,36.629,0.255,2667.756353
2456971.73678241,36.736,0.304,2662.380421
2456971.73679398,36.843,0.352,2657.011851
2456971.73680556,36.951,0.401,2651.650694
2456971.73681713,37.059,0.450,2646.297005
2456971.73682870,37.168,0.499,2640.950835
2456971.73684028,37.277,0.547,2635.612238
2456971.73685185,37.386,0.596,2630.281265
2456971.73686343,37.496,0.645,2624.957970
2456971.73687500,37.607,0.694,2619.642409
2456971.73688657,37.718,0.743,2614.334635
2456971.73689815,37.829,0.792,2609.034703
2456971.73690972,37.941,0.841,2603.742665
2456971.73692130,38.053,0.890,2598.458582
2456971.73693287,38.165,0.939,2593.182506
2456971.73694444,38.278,0.988,2587.914494
2456971.73695602,38.392,1.037,2582.654602
2456971.73696759,38.506,1.086,2577.402885
2456971.73697917,38.620,1.135,2572.159404
2456971.73699074,38.735,1.184,2566.924215
2456971.73700231,38.850,1.233,2561.697375
2456971.73701389,38.966,1.283,2556.478940
2456971.73702546,39.082,1.332,2551.268974
2456971.73703704,39.199,1.381,2546.067533
2456971.73704861,39.316,1.430,2540.874675
2456971.73706019,39.434,1.480,2535.690463
2456971.73707176,39.552,1.529,2530.514955
2456971.73708333,39.670,1.578,2525.348213
2456971.73709491,39.789,1.628,2520.190294
2456971.73710648,39.909,1.677,2515.041264
2456971.73711806,40.029,1.727,2509.901183
2456971.73712963,40.149,1.776,2504.770112
2456971.73714120,40.270,1.826,2499.648113
2456971.73715278,40.392,1.875,2494.535251
2456971.73716435,40.514,1.925,2489.431589
2456971.73717593,40.636,1.974,2484.337187
2456971.73718750,40.759,2.024,2479.252114
2456971.73719907,40.883,2.073,2474.176432
2456971.73721065,41.007,2.123,2469.110204
2456971.73722222,41.131,2.172,2464.053499
2456971.73723380,41.256,2.222,2459.006380
2456971.73724537,41.381,2.272,2453.968912
2456971.73725694,41.507,2.321,2448.941166
2456971.73726852,41.634,2.371,2443.923205
2456971.73728009,41.761,2.421,2438.915094
2456971.73729167,41.888,2.470,2433.916907
2456971.73730324,42.016,2.520,2428.928708
2456971.73731481,42.145,2.570,2423.950564
2456971.73732639,42.274,2.620,2418.982548
2456971.73733796,42.403,2.669,2414.024728
2456971.73734954,42.534,2.719,2409.077170
2456971.73736111,42.664,2.769,2404.139949
2456971.73737269,42.795,2.819,2399.213134
2456971.73738426,42.927,2.868,2394.296793
2456971.73739583,43.059,2.918,2389.391002
2456971.73740741,43.192,2.968,2384.495831
2456971.73741898,43.325,3.018,2379.611349
2456971.73743056,43.459,3.068,2374.737635
2456971.73744213,43.594,3.117,2369.874757
2456971.73745370,43.729,3.167,2365.022789
2456971.73746528,43.864,3.217,2360.181808
2456971.73747685,44.000,3.267,2355.351883
2456971.73748843,44.137,3.317,2350.533096
2456971.73750000,44.274,3.367,2345.725517
2456971.73751157,44.412,3.416,2340.929222
2456971.73752315,44.550,3.466,2336.144289
2456971.73753472,44.689,3.516,2331.370792
2456971.73754630,44.829,3.566,2326.608812
2456971.73755787,44.969,3.616,2321.858423
2456971.73756944,45.109,3.666,2317.119702
2456971.73758102,45.250,3.715,2312.392732
2456971.73759259,45.392,3.765,2307.677585
2456971.73760417,45.535,3.815,2302.974347
2456971.73761574,45.677,3.865,2298.283092
2456971.73762731,45.821,3.915,2293.603904
2456971.73763889,45.965,3.964,2288.936863
