"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.51439273,359.765,0.000,2999.337376
2456971.51439815,359.739,0.027,2996.366381
2456971.51440972,359.682,0.083,2990.026406
2456971.51442130,359.625,0.140,2983.689185
2456971.51443287,359.568,0.198,2977.354743
2456971.51444444,359.510,0.255,2971.023105
2456971.51445602,359.453,0.312,2964.694296
2456971.51446759,359.395,0.369,2958.368343
2456971.51447917,359.337,0.427,2952.045270
2456971.51449074,359.278,0.484,2945.725104
2456971.51450231,359.219,0.542,2939.407871
2456971.51451389,359.160,0.600,2933.093597
2456971.51452546,359.101,0.658,2926.782309
2456971.51453704,359.041,0.715,2920.474033
2456971.51454861,358.981,0.774,2914.168797
2456971.51456019,358.921,0.832,2907.866628
2456971.51457176,358.861,0.890,2901.567553
2456971.51458333,358.800,0.948,2895.271599
2456971.51459491,358.739,1.007,2888.978795
2456971.51460648,358.678,1.065,2882.689168
2456971.51461806,358.616,1.124,2876.402746
2456971.51462963,358.554,1.183,2870.119559
2456971.51464120,358.492,1.242,2863.839634
2456971.51465278,358.430,1.301,2857.563001
2456971.51466435,358.367,1.360,2851.289688
2456971.51467593,358.304,1.419,2845.019726
2456971.51468750,358.241,1.478,2838.753142
2456971.51469907,358.177,1.538,2832.489968
2456971.51471065,358.113,1.597,2826.230233
2456971.51472222,358.049,1.657,2819.973968
2456971.51473380,357.984,1.716,2813.721202
2456971.51474537,357.919,1.776,2807.471967
2456971.51475694,357.854,1.836,2801.226293
2456971.51476852,357.789,1.896,2794.984212
2456971.51478009,357.723,1.956,2788.745756
2456971.51479167,357.657,2.017,2782.510955
2456971.51480324,357.590,2.077,2776.279842
2456971.51481481,357.523,2.138,2770.052448
2456971.51482639,357.456,2.198,2763.828807
2456971.51483796,357.389,2.259,2757.608951
2456971.51484954,357.321,2.320,2751.392913
2456971.51486111,357.253,2.381,2745.180726
2456971.51487269,357.185,2.442,2738.972424
2456971.51488426,357.116,2.503,2732.768040
2456971.51489583,357.047,2.564,2726.567609
2456971.51490741,356.977,2.626,2720.371164
2456971.51491898,356.907,2.687,2714.178740
2456971.51493056,356.837,2.749,2707.990372
2456971.51494213,356.767,2.811,2701.806096
2456971.51495370,356.696,2.872,2695.625946
2456971.51496528,356.625,2.934,2689.449958
2456971.51497685,356.553,2.996,2683.278168
2456971.51498843,356.481,3.059,2677.110612
2456971.51500000,356.409,3.121,2670.947328
2456971.51501157,356.336,3.184,2664.788351
2456971.51502315,356.263,3.246,2658.633719
2456971.51503472,356.190,3.309,2652.483470
2456971.51504630,356.116,3.372,2646.337640
2456971.51505787,356.042,3.435,2640.196269
2456971.51506944,355.968,3.498,2634.059394
2456971.51508102,355.893,3.561,2627.927054
2456971.51509259,355.818,3.624,2621.799288
2456971.51510417,355.742,3.688,2615.676135
2456971.51511574,355.666,3.751,2609.557636
2456971.51512731,355.590,3.815,2603.443829
2456971.51513889,355.513,3.879,2597.334756
2456971.51515046,355.436,3.943,2591.230457
2456971.51516204,355.358,4.007,2585.130972
2456971.51517361,355.280,4.071,2579.036344
2456971.51518519,355.202,4.135,2572.946613
2456971.51519676,355.123,4.200,2566.861822
2456971.51520833,355.044,4.264,2560.782013
2456971.51521991,354.964,4.329,2554.707229
2456971.51523148,354.884,4.394,2548.637512
2456971.51524306,354.804,4.459,2542.572906
2456971.51525463,354.723,4.524,2536.513455
2456971.51526620,354.642,4.589,2530.459203
2456971.51527778,354.560,4.654,2524.410195
2456971.51528935,354.478,4.720,2518.366474
2456971.51530093,354.396,4.786,2512.328087
2456971.51531250,354.313,4.851,2506.295079
2456971.51532407,354.229,4.917,2500.267495
2456971.51533565,354.145,4.983,2494.245384
2456971.51534722,354.061,5.049,2488.228790
2456971.51535880,353.976,5.116,2482.217761
2456971.51537037,353.891,5.182,2476.212345
2456971.51538194,353.806,5.249,2470.212590
2456971.51539352,353.719,5.315,2464.218543
2456971.51540509,353.633,5.382,2458.230255
2456971.51541667,353.546,5.449,2452.247773
2456971.51542824,353.458,5.516,2446.271148
2456971.51543981,353.370,5.583,2440.300429
2456971.51545139,353.282,5.651,2434.335667
2456971.51546296,353.193,5.718,2428.376913
2456971.51547454,353.104,5.786,2422.424217
2456971.51548611,353.014,5.854,2416.477633
2456971.51549769,352.924,5.922,2410.537211
2456971.51550926,352.833,5.990,2404.603005
2456971.51552083,352.741,6.058,2398.675067
2456971.51553241,352.650,6.126,2392.753451
2456971.51554398,352.557,6.195,2386.838211
2456971.51555556,352.465,6.263,2380.929402
2456971.51556713,352.371,6.332,2375.027077
2456971.51557870,352.277,6.401,2369.131294
2456971.51559028,352.183,6.470,2363.242106
2456971.51560185,352.088,6.539,2357.359571
2456971.51561343,351.993,6.609,2351.483746
2456971.51562500,351.897,6.678,2345.614687
2456971.51563657,351.800,6.748,2339.752452
2456971.51564815,351.704,6.818,2333.897100
2456971.51565972,351.606,6.887,2328.048690
2456971.51567130,351.508,6.958,2322.207280
2456971.51568287,351.409,7.028,2316.372931
2456971.51569444,351.310,7.098,2310.545702
2456971.51570602,351.211,7.169,2304.725655
2456971.51571759,351.110,7.239,2298.912850
2456971.51572917,351.009,7.310,2293.107350
2456971.51574074,350.908,7.381,2287.309216
2456971.51575231,350.806,7.452,2281.518513
2456971.51576389,350.704,7.523,2275.735303
2456971.51577546,350.601,7.595,2269.959650
2456971.51578704,350.497,7.666,2264.191619
2456971.51579861,350.393,7.738,2258.431274
2456971.51581019,350.288,7.810,2252.678683
2456971.51582176,350.182,7.882,2246.933910
2456971.51583333,350.076,7.954,2241.197023
2456971.51584491,349.970,8.026,2235.468088
2456971.51585648,349.862,8.098,2229.747175
2456971.51586806,349.755,8.171,2224.034350
2456971.51587963,349.646,8.244,2218.329685
2456971.51589120,349.537,8.317,2212.633247
2456971.51590278,349.427,8.390,2206.945108
2456971.51591435,349.317,8.463,2201.265339
2456971.51592593,349.206,8.536,2195.594011
2456971.51593750,349.094,8.610,2189.931195
2456971.51594907,348.982,8.683,2184.276967
2456971.51596065,348.869,8.757,2178.631397
2456971.51597222,348.756,8.831,2172.994560
2456971.51598380,348.641,8.905,2167.366532
2456971.51599537,348.527,8.979,2161.747387
2456971.51600694,348.411,9.053,2156.137201
2456971.51601852,348.295,9.128,2150.536052
2456971.51603009,348.178,9.203,2144.944015
2456971.51604167,348.060,9.277,2139.361171
2456971.51605324,347.942,9.352,2133.787595
2456971.51606481,347.823,9.427,2128.223369
2456971.51607639,347.703,9.503,2122.668571
2456971.51608796,347.583,9.578,2117.123284
2456971.51609954,347.462,9.654,2111.587587
2456971.51611111,347.340,9.729,2106.061563
2456971.51612269,347.218,9.805,2100.545296
2456971.51613426,347.095,9.881,2095.038867
2456971.51614583,346.971,9.957,2089.542362
2456971.51615741,346.846,10.033,2084.055865
2456971.51616898,346.721,10.110,2078.579461
2456971.51618056,346.594,10.186,2073.113238
2456971.51619213,346.467,10.263,2067.657283
2456971.51620370,346.340,10.340,2062.211682
2456971.51621528,346.211,10.417,2056.776524
2456971.51622685,346.082,10.494,2051.351900
2456971.51623843,345.952,10.572,2045.937898
2456971.51625000,345.822,10.649,2040.534611
2456971.51626157,345.690,10.727,2035.142128
2456971.51627315,345.558,10.804,2029.760543
2456971.51628472,345.425,10.882,2024.389948
2456971.51629630,345.291,10.960,2019.030438
2456971.51630787,345.156,11.038,2013.682108
2456971.51631944,345.021,11.117,2008.345052
2456971.51633102,344.884,11.195,2003.019367
2456971.51634259,344.747,11.274,1997.705150
2456971.51635417,344.609,11.352,1992.402500
2456971.51636574,344.470,11.431,1987.111514
2456971.51637731,344.331,11.510,1981.832293
2456971.51638889,344.190,11.589,1976.564935
2456971.51640046,344.049,11.669,1971.309544
2456971.51641204,343.907,11.748,1966.066221
2456971.51642361,343.764,11.827,1960.835068
2456971.51643519,343.620,11.907,1955.616189
2456971.51644676,343.475,11.987,1950.409689
2456971.51645833,343.329,12.067,1945.215674
2456971.51646991,343.183,12.147,1940.034249
2456971.51648148,343.035,12.227,1934.865521
2456971.51649306,342.887,12.307,1929.709600
2456971.51650463,342.737,12.388,1924.566592
2456971.51651620,342.587,12.468,1919.436608
2456971.51652778,342.436,12.549,1914.319759
2456971.51653935,342.284,12.630,1909.216157
2456971.51655093,342.131,12.711,1904.125913
2456971.51656250,341.977,12.792,1899.049140
2456971.51657407,341.822,12.873,1893.985955
2456971.51658565,341.666,12.954,1888.936469
2456971.51659722,341.510,13.035,1883.900801
2456971.51660880,341.352,13.117,1878.879067
2456971.51662037,341.193,13.198,1873.871384
2456971.51663194,341.034,13.280,1868.877871
2456971.51664352,340.873,13.362,1863.898650
2456971.51665509,340.711,13.444,1858.933837
2456971.51666667,340.549,13.526,1853.983557
2456971.51667824,340.385,13.608,1849.047932
2456971.51668981,340.220,13.690,1844.127084
2456971.51670139,340.055,13.772,1839.221137
2456971.51671296,339.888,13.855,1834.330219
2456971.51672454,339.720,13.937,1829.454453
2456971.51673611,339.551,14.020,1824.593967
2456971.51674769,339.382,14.102,1819.748890
2456971.51675926,339.211,14.185,1814.919349
2456971.51677083,339.039,14.268,1810.105477
2456971.51678241,338.866,14.351,1805.307401
2456971.51679398,338.692,14.434,1800.525255
2456971.51680556,338.517,14.517,1795.759173
2456971.51681713,338.340,14.600,1791.009285
2456971.51682870,338.163,14.683,1786.275729
2456971.51684028,337.985,14.766,1781.558638
2456971.51685185,337.805,14.850,1776.858150
2456971.51686343,337.624,14.933,1772.174404
2456971.51687500,337.443,15.016,1767.507534
2456971.51688657,337.260,15.100,1762.857684
2456971.51689815,337.076,15.183,1758.224992
2456971.51690972,336.891,15.267,1753.609599
2456971.51692130,336.704,15.351,1749.011648
2456971.51693287,336.517,15.434,1744.431282
2456971.51694444,336.328,15.518,1739.868645
2456971.51695602,336.139,15.602,1735.323882
2456971.51696759,335.948,15.685,1730.797138
2456971.51697917,335.755,15.769,1726.288563
2456971.51699074,335.562,15.853,1721.798301
2456971.51700231,335.368,15.937,1717.326503
2456971.51701389,335.172,16.020,1712.873318
2456971.51702546,334.975,16.104,1708.438897
2456971.51703704,334.777,16.188,1704.023391
2456971.51704861,334.578,16.272,1699.626953
2456971.51706019,334.377,16.356,1695.249736
2456971.51707176,334.175,16.439,1690.891894
2456971.51708333,333.972,16.523,1686.553582
2456971.51709491,333.768,16.607,1682.234958
2456971.51710648,333.563,16.691,1677.936175
2456971.51711806,333.356,16.774,1673.657395
2456971.51712963,333.148,16.858,1669.398774
2456971.51714120,332.938,16.942,1665.160472
2456971.51715278,332.728,17.025,1660.942650
2456971.51716435,332.516,17.109,1656.745467
2456971.51717593,332.303,17.192,1652.569088
2456971.51718750,332.089,17.276,1648.413675
2456971.51719907,331.873,17.359,1644.279389
2456971.51721065,331.656,17.442,1640.166398
2456971.51722222,331.437,17.525,1636.074865
2456971.51723380,331.218,17.609,1632.004958
2456971.51724537,330.997,17.692,1627.956842
2456971.51725694,330.775,17.774,1623.930683
2456971.51726852,330.551,17.857,1619.926654
2456971.51728009,330.326,17.940,1615.944920
2456971.51729167,330.100,18.022,1611.985651
2456971.51730324,329.872,18.105,1608.049020
2456971.51731481,329.643,18.187,1604.135196
2456971.51732639,329.413,18.269,1600.244350
2456971.51733796,329.181,18.351,1596.376656
2456971.51734954,328.948,18.433,1592.532287
2456971.51736111,328.714,18.515,1588.711416
2456971.51737269,328.478,18.597,1584.914216
2456971.51738426,328.241,18.678,1581.140864
2456971.51739583,328.002,18.759,1577.391535
2456971.51740741,327.762,18.840,1573.666404
2456971.51741898,327.521,18.921,1569.965646
2456971.51743056,327.278,19.002,1566.289441
2456971.51744213,327.034,19.082,1562.637965
2456971.51745370,326.789,19.162,1559.011396
2456971.51746528,326.542,19.242,1555.409910
2456971.51747685,326.293,19.322,1551.833689
2456971.51748843,326.044,19.401,1548.282911
2456971.51750000,325.793,19.480,1544.757755
2456971.51751157,325.540,19.559,1541.258401
2456971.51752315,325.286,19.638,1537.785029
2456971.51753472,325.031,19.716,1534.337816
2456971.51754630,324.774,19.795,1530.916949
2456971.51755787,324.516,19.872,1527.522604
2456971.51756944,324.256,19.950,1524.154964
2456971.51758102,323.995,20.027,1520.814209
2456971.51759259,323.733,20.104,1517.500520
2456971.51760417,323.469,20.180,1514.214080
2456971.51761574,323.204,20.257,1510.955069
2456971.51762731,322.937,20.332,1507.723666
2456971.51763889,322.669,20.408,1504.520058
2456971.51765046,322.399,20.483,1501.344424
2456971.51766204,322.128,20.558,1498.196944
2456971.51767361,321.856,20.632,1495.077801
2456971.51768519,321.582,20.706,1491.987175
2456971.51769676,321.307,20.779,1488.925248
2456971.51770833,321.030,20.852,1485.892199
2456971.51771991,320.752,20.925,1482.888210
2456971.51773148,320.473,20.997,1479.913461
2456971.51774306,320.192,21.069,1476.968132
