"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.78679126,62.844,0.000,2926.939942
2456971.78679398,62.877,0.004,2926.476579
2456971.78680556,63.020,0.021,2924.513067
2456971.78681713,63.164,0.039,2922.563957
2456971.78682870,63.308,0.056,2920.629276
2456971.78684028,63.451,0.073,2918.709054
2456971.78685185,63.595,0.089,2916.803329
2456971.78686343,63.740,0.106,2914.912128
2456971.78687500,63.884,0.123,2913.035480
2456971.78688657,64.029,0.139,2911.173423
2456971.78689815,64.173,0.156,2909.325985
2456971.78690972,64.318,0.172,2907.493193
2456971.78692130,64.463,0.188,2905.675084
2456971.78693287,64.609,0.204,2903.871683
2456971.78694444,64.754,0.220,2902.083026
2456971.78695602,64.900,0.235,2900.309140
2456971.78696759,65.045,0.251,2898.550052
2456971.78697917,65.191,0.267,2896.805799
2456971.78699074,65.338,0.282,2895.076404
2456971.78700231,65.484,0.297,2893.361903
2456971.78701389,65.630,0.312,2891.662318
2456971.78702546,65.777,0.327,2889.977686
2456971.78703704,65.924,0.342,2888.308032
2456971.78704861,66.071,0.357,2886.653381
2456971.78706019,66.218,0.371,2885.013770
2456971.78707176,66.365,0.386,2883.389219
2456971.78708333,66.513,0.400,2881.779764
2456971.78709491,66.660,0.414,2880.185426
2456971.78710648,66.808,0.428,2878.606239
2456971.78711806,66.956,0.442,2877.042225
2456971.78712963,67.104,0.456,2875.493417
2456971.78714120,67.252,0.470,2873.959837
2456971.78715278,67.401,0.483,2872.441518
2456971.78716435,67.549,0.497,2870.938480
2456971.78717593,67.698,0.510,2869.450757
2456971.78718750,67.847,0.523,2867.978368
2456971.78719907,67.996,0.536,2866.521346
2456971.78721065,68.145,0.549,2865.079712
2456971.78722222,68.295,0.562,2863.653496
2456971.78723380,68.444,0.575,2862.242718
2456971.78724537,68.594,0.587,2860.847410
2456971.78725694,68.743,0.599,2859.467591
2456971.78726852,68.893,0.612,2858.103292
2456971.78728009,69.043,0.624,2856.754532
2456971.78729167,69.193,0.636,2855.421341
2456971.78730324,69.344,0.647,2854.103737
2456971.78731481,69.494,0.659,2852.801747
2456971.78732639,69.645,0.670,2851.515399
2456971.78733796,69.796,0.682,2850.244709
2456971.78734954,69.946,0.693,2848.989708
2456971.78736111,70.097,0.704,2847.750412
2456971.78737269,70.248,0.715,2846.526850
2456971.78738426,70.400,0.726,2845.319039
2456971.78739583,70.551,0.737,2844.127003
2456971.78740741,70.703,0.747,2842.950770
2456971.78741898,70.854,0.758,2841.790353
2456971.78743056,71.006,0.768,2840.645781
2456971.78744213,71.158,0.778,2839.517069
2456971.78745370,71.310,0.788,2838.404241
2456971.78746528,71.462,0.798,2837.307322
2456971.78747685,71.614,0.807,2836.226325
2456971.78748843,71.766,0.817,2835.161275
2456971.78750000,71.919,0.826,2834.112195
2456971.78751157,72.071,0.836,2833.079097
2456971.78752315,72.224,0.845,2832.062005
2456971.78753472,72.377,0.854,2831.060942
2456971.78754630,72.529,0.862,2830.075920
2456971.78755787,72.682,0.871,2829.106960
2456971.78756944,72.835,0.880,2828.154086
2456971.78758102,72.989,0.888,2827.217309
2456971.78759259,73.142,0.896,2826.296649
2456971.78760417,73.295,0.904,2825.392128
2456971.78761574,73.449,0.912,2824.503758
2456971.78762731,73.602,0.920,2823.631558
2456971.78763889,73.756,0.928,2822.775548
2456971.78765046,73.910,0.935,2821.935739
2456971.78766204,74.063,0.942,2821.112150
2456971.78767361,74.217,0.950,2820.304798
2456971.78768519,74.371,0.957,2819.513701
2456971.78769676,74.525,0.963,2818.738869
2456971.78770833,74.680,0.970,2817.980319
2456971.78771991,74.834,0.977,2817.238068
2456971.78773148,74.988,0.983,2816.512132
2456971.78774306,75.143,0.989,2815.802520
2456971.78775463,75.297,0.996,2815.109249
2456971.78776620,75.452,1.002,2814.432334
2456971.78777778,75.606,1.007,2813.771789
2456971.78778935,75.761,1.013,2813.127623
2456971.78780093,75.916,1.019,2812.499852
2456971.78781250,76.070,1.024,2811.888488
2456971.78782407,76.225,1.029,2811.293543
2456971.78783565,76.380,1.034,2810.715034
2456971.78784722,76.535,1.039,2810.152964
2456971.78785880,76.690,1.044,2809.607349
2456971.78787037,76.846,1.049,2809.078200
2456971.78788194,77.001,1.053,2808.565527
2456971.78789352,77.156,1.057,2808.069346
2456971.78790509,77.311,1.061,2807.589658
2456971.78791667,77.467,1.065,2807.126478
2456971.78792824,77.622,1.069,2806.679816
2456971.78793981,77.778,1.073,2806.249679
2456971.78795139,77.933,1.077,2805.836078
2456971.78796296,78.089,1.080,2805.439022
2456971.78797454,78.244,1.083,2805.058521
2456971.78798611,78.400,1.086,2804.694578
2456971.78799769,78.556,1.089,2804.347203
2456971.78800926,78.711,1.092,2804.016404
2456971.78802083,78.867,1.094,2803.702189
2456971.78803241,79.023,1.097,2803.404563
2456971.78804398,79.179,1.099,2803.123535
2456971.78805556,79.334,1.101,2802.859109
2456971.78806713,79.490,1.103,2802.611292
2456971.78807870,79.646,1.105,2802.380089
2456971.78809028,79.802,1.107,2802.165510
2456971.78810185,79.958,1.108,2801.967551
2456971.78811343,80.114,1.110,2801.786223
2456971.78812500,80.270,1.111,2801.621528
2456971.78813657,80.426,1.112,2801.473471
2456971.78814815,80.582,1.113,2801.342056
2456971.78815972,80.738,1.114,2801.227285
2456971.78817130,80.894,1.114,2801.129163
2456971.78818287,81.050,1.115,2801.047692
2456971.78819444,81.206,1.115,2800.982874
2456971.78820602,81.362,1.115,2800.934712
2456971.78821759,81.518,1.115,2800.903208
2456971.78822917,81.674,1.115,2800.888362
2456971.78824074,81.830,1.114,2800.890176
2456971.78825231,81.987,1.114,2800.908652
2456971.78826389,82.143,1.113,2800.943789
2456971.78827546,82.299,1.112,2800.995588
2456971.78828704,82.455,1.111,2801.064049
2456971.78829861,82.611,1.110,2801.149172
2456971.78831019,82.767,1.109,2801.250955
2456971.78832176,82.923,1.108,2801.369398
2456971.78833333,83.079,1.106,2801.504500
2456971.78834491,83.235,1.104,2801.656258
2456971.78835648,83.391,1.102,2801.824671
2456971.78836806,83.547,1.100,2802.009738
2456971.78837963,83.703,1.098,2802.211454
2456971.78839120,83.859,1.096,2802.429817
2456971.78840278,84.015,1.093,2802.664821
2456971.78841435,84.170,1.090,2802.916468
2456971.78842593,84.326,1.088,2803.184753
2456971.78843750,84.482,1.085,2803.469669
2456971.78844907,84.638,1.081,2803.771214
2456971.78846065,84.794,1.078,2804.089382
2456971.78847222,84.949,1.075,2804.424167
2456971.78848380,85.105,1.071,2804.775566
2456971.78849537,85.261,1.067,2805.143571
2456971.78850694,85.416,1.063,2805.528178
2456971.78851852,85.572,1.059,2805.929375
2456971.78853009,85.727,1.055,2806.347164
2456971.78854167,85.883,1.051,2806.781534
2456971.78855324,86.038,1.046,2807.232478
2456971.78856481,86.193,1.041,2807.699988
2456971.78857639,86.349,1.036,2808.184055
2456971.78858796,86.504,1.031,2808.684673
2456971.78859954,86.659,1.026,2809.201829
2456971.78861111,86.814,1.021,2809.735522
2456971.78862269,86.969,1.015,2810.285738
2456971.78863426,87.124,1.010,2810.852468
2456971.78864583,87.279,1.004,2811.435702
2456971.78865741,87.434,0.998,2812.035428
2456971.78866898,87.589,0.992,2812.651641
2456971.78868056,87.744,0.986,2813.284328
2456971.78869213,87.898,0.979,2813.933477
2456971.78870370,88.053,0.973,2814.599078
2456971.78871528,88.208,0.966,2815.281115
2456971.78872685,88.362,0.959,2815.979584
2456971.78873843,88.516,0.952,2816.694468
2456971.78875000,88.671,0.945,2817.425757
2456971.78876157,88.825,0.938,2818.173432
2456971.78877315,88.979,0.930,2818.937490
2456971.78878472,89.133,0.923,2819.717911
2456971.78879630,89.287,0.915,2820.514684
2456971.78880787,89.441,0.907,2821.327791
2456971.78881944,89.595,0.899,2822.157224
2456971.78883102,89.749,0.891,2823.002965
2456971.78884259,89.902,0.883,2823.865001
2456971.78885417,90.056,0.874,2824.743312
2456971.78886574,90.209,0.866,2825.637890
2456971.78887731,90.362,0.857,2826.548717
2456971.78888889,90.516,0.848,2827.475772
2456971.78890046,90.669,0.839,2828.419047
2456971.78891204,90.822,0.829,2829.378521
2456971.78892361,90.975,0.820,2830.354176
2456971.78893519,91.128,0.811,2831.345999
2456971.78894676,91.280,0.801,2832.353972
2456971.78895833,91.433,0.791,2833.378073
2456971.78896991,91.585,0.781,2834.418291
2456971.78898148,91.738,0.771,2835.474605
2456971.78899306,91.890,0.761,2836.546992
2456971.78900463,92.042,0.750,2837.635442
2456971.78901620,92.194,0.740,2838.739932
2456971.78902778,92.346,0.729,2839.860440
2456971.78903935,92.498,0.718,2840.996952
2456971.78905093,92.650,0.707,2842.149443
2456971.78906250,92.801,0.696,2843.317900
2456971.78907407,92.953,0.685,2844.502299
2456971.78908565,93.104,0.674,2845.702616
2456971.78909722,93.255,0.662,2846.918837
